RENGLON,ANIO,ENTIDAD,CVE_GEO,EDAD,SEXO,EMIGRANTES,INMIGRANTES,ENTIDAD_FEDERATIVA,FECHA
1,1970-1974,Aguascalientes,1,00--04,Hombres,2597,3470,Aguascalientes,1974-01-01
2,1970-1974,Aguascalientes,1,00--04,Mujeres,2567,3308,Aguascalientes,1974-01-01
3,1970-1974,Aguascalientes,1,05--09,Hombres,1137,2042,Aguascalientes,1974-01-01
4,1970-1974,Aguascalientes,1,05--09,Mujeres,1136,1962,Aguascalientes,1974-01-01
5,1970-1974,Aguascalientes,1,10--14,Hombres,1041,1836,Aguascalientes,1974-01-01
6,1970-1974,Aguascalientes,1,10--14,Mujeres,1101,1867,Aguascalientes,1974-01-01
7,1970-1974,Aguascalientes,1,15--19,Hombres,1467,1959,Aguascalientes,1974-01-01
8,1970-1974,Aguascalientes,1,15--19,Mujeres,1535,1996,Aguascalientes,1974-01-01
9,1970-1974,Aguascalientes,1,20--24,Hombres,1454,1925,Aguascalientes,1974-01-01
10,1970-1974,Aguascalientes,1,20--24,Mujeres,1425,1725,Aguascalientes,1974-01-01
11,1970-1974,Aguascalientes,1,25--29,Hombres,1075,1662,Aguascalientes,1974-01-01
12,1970-1974,Aguascalientes,1,25--29,Mujeres,926,1342,Aguascalientes,1974-01-01
13,1970-1974,Aguascalientes,1,30--34,Hombres,698,1213,Aguascalientes,1974-01-01
14,1970-1974,Aguascalientes,1,30--34,Mujeres,568,944,Aguascalientes,1974-01-01
15,1970-1974,Aguascalientes,1,35--39,Hombres,452,841,Aguascalientes,1974-01-01
16,1970-1974,Aguascalientes,1,35--39,Mujeres,381,629,Aguascalientes,1974-01-01
17,1970-1974,Aguascalientes,1,40--44,Hombres,339,605,Aguascalientes,1974-01-01
18,1970-1974,Aguascalientes,1,40--44,Mujeres,273,455,Aguascalientes,1974-01-01
19,1970-1974,Aguascalientes,1,45--49,Hombres,239,446,Aguascalientes,1974-01-01
20,1970-1974,Aguascalientes,1,45--49,Mujeres,212,361,Aguascalientes,1974-01-01
21,1970-1974,Aguascalientes,1,50--54,Hombres,148,335,Aguascalientes,1974-01-01
22,1970-1974,Aguascalientes,1,50--54,Mujeres,175,278,Aguascalientes,1974-01-01
23,1970-1974,Aguascalientes,1,55--59,Hombres,124,246,Aguascalientes,1974-01-01
24,1970-1974,Aguascalientes,1,55--59,Mujeres,150,232,Aguascalientes,1974-01-01
25,1970-1974,Aguascalientes,1,60--64,Hombres,106,205,Aguascalientes,1974-01-01
26,1970-1974,Aguascalientes,1,60--64,Mujeres,124,206,Aguascalientes,1974-01-01
27,1970-1974,Aguascalientes,1,65--69,Hombres,70,150,Aguascalientes,1974-01-01
28,1970-1974,Aguascalientes,1,65--69,Mujeres,87,163,Aguascalientes,1974-01-01
29,1970-1974,Aguascalientes,1,70--74,Hombres,34,94,Aguascalientes,1974-01-01
30,1970-1974,Aguascalientes,1,70--74,Mujeres,63,118,Aguascalientes,1974-01-01
31,1970-1974,Aguascalientes,1,75--79,Hombres,34,58,Aguascalientes,1974-01-01
32,1970-1974,Aguascalientes,1,75--79,Mujeres,41,84,Aguascalientes,1974-01-01
33,1970-1974,Aguascalientes,1,80--84,Hombres,28,34,Aguascalientes,1974-01-01
34,1970-1974,Aguascalientes,1,80--84,Mujeres,38,53,Aguascalientes,1974-01-01
35,1970-1974,Aguascalientes,1,85--89,Hombres,15,21,Aguascalientes,1974-01-01
36,1970-1974,Aguascalientes,1,85--89,Mujeres,22,27,Aguascalientes,1974-01-01
37,1970-1974,Baja California,2,00--04,Hombres,10986,12348,Baja California,1974-01-01
38,1970-1974,Baja California,2,00--04,Mujeres,10434,11940,Baja California,1974-01-01
39,1970-1974,Baja California,2,05--09,Hombres,5891,6318,Baja California,1974-01-01
40,1970-1974,Baja California,2,05--09,Mujeres,5782,6365,Baja California,1974-01-01
41,1970-1974,Baja California,2,10--14,Hombres,4727,5866,Baja California,1974-01-01
42,1970-1974,Baja California,2,10--14,Mujeres,4950,6304,Baja California,1974-01-01
43,1970-1974,Baja California,2,15--19,Hombres,5641,7128,Baja California,1974-01-01
44,1970-1974,Baja California,2,15--19,Mujeres,5592,7493,Baja California,1974-01-01
45,1970-1974,Baja California,2,20--24,Hombres,5818,7179,Baja California,1974-01-01
46,1970-1974,Baja California,2,20--24,Mujeres,5073,6616,Baja California,1974-01-01
47,1970-1974,Baja California,2,25--29,Hombres,4852,5802,Baja California,1974-01-01
48,1970-1974,Baja California,2,25--29,Mujeres,3799,4691,Baja California,1974-01-01
49,1970-1974,Baja California,2,30--34,Hombres,3609,3845,Baja California,1974-01-01
50,1970-1974,Baja California,2,30--34,Mujeres,2575,3030,Baja California,1974-01-01
51,1970-1974,Baja California,2,35--39,Hombres,2596,2466,Baja California,1974-01-01
52,1970-1974,Baja California,2,35--39,Mujeres,1763,2075,Baja California,1974-01-01
53,1970-1974,Baja California,2,40--44,Hombres,1861,1729,Baja California,1974-01-01
54,1970-1974,Baja California,2,40--44,Mujeres,1241,1532,Baja California,1974-01-01
55,1970-1974,Baja California,2,45--49,Hombres,1351,1293,Baja California,1974-01-01
56,1970-1974,Baja California,2,45--49,Mujeres,929,1211,Baja California,1974-01-01
57,1970-1974,Baja California,2,50--54,Hombres,922,953,Baja California,1974-01-01
58,1970-1974,Baja California,2,50--54,Mujeres,763,1011,Baja California,1974-01-01
59,1970-1974,Baja California,2,55--59,Hombres,640,738,Baja California,1974-01-01
60,1970-1974,Baja California,2,55--59,Mujeres,672,807,Baja California,1974-01-01
61,1970-1974,Baja California,2,60--64,Hombres,509,563,Baja California,1974-01-01
