ENTIDAD_FEDERATIVA,EMIGRANTES_2020,EMIGRANTES_2025,EMIGRANTES_2015,EMIGRANTES_2010,EMIGRANTES_2005,Total_Victimas_2015_2019,Total_Victimas_2020_2024,Pobreza_2015_2019,Pobreza_2020_2024,Extorsion_2015_2019,Extorsion_2020_2025,Homicidio_Feminicidio_2015_2019,Homicidio_Feminicidio_2020_2025
Aguascalientes,38907.0,39738.0,37571.0,24874.0,37758.0,23672,27687,54.4,53.900000000000006,497.0,624.0,1403.0,1575.0
Baja California,120507.0,126355.0,112513.0,114625.0,158365.0,88940,97932,45.5,35.9,960.0,766.0,12607.0,18561.0
Baja California Sur,35149.0,38025.0,32368.0,28724.0,22209.0,13705,14766,40.2,40.900000000000006,801.0,701.0,1880.0,978.0
Campeche,49237.0,48884.0,49614.0,28675.0,34009.0,2454,17118,90.0,95.6,120.0,314.0,831.0,1293.0
Chiapas,192830.0,201770.0,183352.0,126496.0,123764.0,20540,19040,153.5,142.9,965.0,403.0,7349.0,8427.0
Chihuahua,75407.0,77870.0,73086.0,76290.0,108283.0,51784,64708,56.900000000000006,42.900000000000006,82.0,71.0,11331.0,15549.0
Distrito Federal,677682.0,646796.0,711155.0,639896.0,1020700.0,85594,92708,57.6,56.6,,,,
Coahuila de Zaragoza,75327.0,77977.0,72463.0,68685.0,77927.0,33573,31574,47.3,43.8,153.0,271.0,2877.0,2653.0
Colima,39640.0,38988.0,40979.0,24394.0,29203.0,10906,17167,64.0,47.2,226.0,758.0,3627.0,5315.0
Durango,67640.0,68135.0,66904.0,56620.0,62858.0,27700,21388,83.3,67.1,378.0,366.0,2356.0,2255.0
México,624146.0,626973.0,615585.0,459669.0,428852.0,91466,124077,90.6,91.8,8561.0,21064.0,18304.0,24355.0
Guanajuato,115009.0,116646.0,112053.0,78123.0,95685.0,39098,33467,83.9,75.7,53.0,4727.0,21348.0,31133.0
Guerrero,233103.0,227598.0,238178.0,157355.0,130770.0,42365,43828,130.9,126.80000000000001,1036.0,1188.0,14297.0,11761.0
Hidalgo,114046.0,116487.0,112232.0,85047.0,95945.0,88408,93644,94.4,92.19999999999999,621.0,1333.0,3800.0,3332.0
Jalisco,212863.0,216576.0,207665.0,174870.0,198122.0,49981,64264,60.2,53.2,3697.0,3844.0,13735.0,18830.0
Michoacán de Ocampo,140715.0,144129.0,137372.0,131409.0,130831.0,33438,33071,101.3,80.7,96.0,985.0,13630.0,19711.0
Morelos,79856.0,79930.0,80748.0,59232.0,58535.0,366160,424099,100.3,91.1,496.0,1448.0,5235.0,9559.0
Nayarit,47289.0,48963.0,46349.0,38436.0,38670.0,4361,7311,72.3,62.800000000000004,15.0,155.0,1535.0,2611.0
Nuevo León,124285.0,131593.0,114461.0,86176.0,95138.0,79756,80487,28.7,40.3,3049.0,4598.0,7378.0,10978.0
Oaxaca,158457.0,161147.0,156417.0,126218.0,127239.0,38658,47453,136.8,120.1,467.0,759.0,8359.0,12617.0
Puebla,197441.0,204150.0,189808.0,159887.0,180103.0,49112,49020,118.3,116.4,883.0,920.0,8924.0,9894.0
Querétaro,87572.0,92429.0,80595.0,44587.0,57670.0,41125,48345,57.5,53.0,418.0,1623.0,2592.0,3416.0
Quintana Roo,105957.0,113713.0,93036.0,68017.0,64988.0,21899,42389,59.0,74.5,642.0,912.0,4026.0,9695.0
San Luis Potosí,93588.0,94446.0,92793.0,79794.0,81228.0,28102,34068,88.9,74.5,780.0,819.0,3733.0,5226.0
Sinaloa,118574.0,118900.0,118597.0,115018.0,127179.0,33790,39562,61.7,49.7,414.0,446.0,9013.0,9370.0
Sonora,77530.0,79234.0,76575.0,62763.0,71998.0,24172,33249,56.099999999999994,51.599999999999994,258.0,441.0,6706.0,11453.0
Tabasco,125880.0,123636.0,129904.0,71702.0,81898.0,41624,36460,103.5,101.0,1153.0,786.0,4696.0,6183.0
Tamaulipas,140853.0,142221.0,140864.0,130229.0,131286.0,41887,33030,66.7,61.7,748.0,686.0,9090.0,7863.0
Tlaxcala,39874.0,41089.0,38814.0,30780.0,35593.0,4178,2422,102.3,111.8,20.0,31.0,1488.0,1040.0
Veracruz de Ignacio de la Llave,421267.0,406406.0,440613.0,266479.0,293397.0,53304,73678,124.0,110.30000000000001,2366.0,4996.0,12273.0,13228.0
Yucatán,43371.0,44330.0,41443.0,45741.0,50560.0,15082,3344,82.69999999999999,88.3,170.0,31.0,542.0,1209.0
Zacatecas,62782.0,64100.0,62435.0,49841.0,51467.0,18885,30015,95.8,85.4,975.0,1629.0,3754.0,7978.0
